# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.0 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2022-06-17T00:00:00.0
# Date end (ISO 8601): 2022-07-18T00:00:00.0
# Latitude (positive North, ISO 19115): 41.8900
# Longitude (positive East, ISO 19115): 12.4900
# Altitude (m): 39.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2022-07-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2022-06-18T00:00:00.0/2022-06-18T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T01:00:00.0/2022-06-18T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T02:00:00.0/2022-06-18T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T03:00:00.0/2022-06-18T04:00:00.0;12.4922;3.6755;0.8068;2.8687;18.6997;2.3517;0.0000;2.3517;0.0000;1.0000
2022-06-18T04:00:00.0/2022-06-18T05:00:00.0;189.3356;95.3674;54.6116;40.7558;343.4967;85.3433;46.1288;39.2145;272.6616;1.0000
2022-06-18T05:00:00.0/2022-06-18T06:00:00.0;423.5939;271.0238;197.3104;73.7134;605.9843;254.8225;191.0520;63.7704;585.7090;1.0000
2022-06-18T06:00:00.0/2022-06-18T07:00:00.0;652.8219;461.8752;367.0315;94.8437;738.8792;445.1480;362.4998;82.6482;729.5283;1.0000
2022-06-18T07:00:00.0/2022-06-18T08:00:00.0;861.4026;640.7070;530.6513;110.0556;811.4603;626.2739;528.1139;98.1600;807.4464;1.0000
2022-06-18T08:00:00.0/2022-06-18T09:00:00.0;1035.1250;791.7161;670.7497;120.9664;854.2436;782.0049;673.2405;108.7644;857.3417;1.0000
2022-06-18T09:00:00.0/2022-06-18T10:00:00.0;1162.1526;902.8615;773.7963;129.0652;878.0493;896.4479;780.8745;115.5734;886.0552;1.0000
2022-06-18T10:00:00.0/2022-06-18T11:00:00.0;1233.8306;965.5937;830.7177;134.8760;887.9817;960.5408;840.9244;119.6165;898.8858;1.0000
2022-06-18T11:00:00.0/2022-06-18T12:00:00.0;1245.2762;974.7970;836.7317;138.0653;886.1853;970.0512;848.1501;121.9011;898.2783;1.0000
2022-06-18T12:00:00.0/2022-06-18T13:00:00.0;1195.7118;928.5624;787.4579;141.1045;868.4149;923.2103;798.8639;124.3464;881.0019;1.0000
2022-06-18T13:00:00.0/2022-06-18T14:00:00.0;1088.5172;830.2444;687.0790;143.1654;832.0130;822.9318;697.0438;125.8880;844.0624;1.0000
2022-06-18T14:00:00.0/2022-06-18T15:00:00.0;931.0000;688.2874;548.2125;140.0749;775.4786;676.6631;554.1575;122.5056;783.8413;1.0000
2022-06-18T15:00:00.0/2022-06-18T16:00:00.0;733.8961;517.0614;393.1727;123.8887;704.7749;501.9131;394.3687;107.5444;706.6478;1.0000
2022-06-18T16:00:00.0/2022-06-18T17:00:00.0;510.6377;331.9881;236.6681;95.3201;606.3671;315.5193;231.9833;83.5360;593.5333;1.0000
2022-06-18T17:00:00.0/2022-06-18T18:00:00.0;276.4378;151.5440;92.3084;59.2356;422.4996;138.0275;83.3762;54.6513;375.8062;1.0000
2022-06-18T18:00:00.0/2022-06-18T19:00:00.0;56.2054;21.0359;7.8125;13.2234;92.8101;16.8301;3.2878;13.5423;32.0478;1.0000
2022-06-18T19:00:00.0/2022-06-18T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T20:00:00.0/2022-06-18T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T21:00:00.0/2022-06-18T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T22:00:00.0/2022-06-18T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-18T23:00:00.0/2022-06-19T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T00:00:00.0/2022-06-19T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T01:00:00.0/2022-06-19T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T02:00:00.0/2022-06-19T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T03:00:00.0/2022-06-19T04:00:00.0;12.3269;3.5622;0.7036;2.8586;16.4285;2.2703;0.0000;2.2703;0.0000;1.0000
2022-06-19T04:00:00.0/2022-06-19T05:00:00.0;188.7538;93.5055;51.1999;42.3056;321.4373;83.6980;42.9210;40.7771;252.0448;1.0000
2022-06-19T05:00:00.0/2022-06-19T06:00:00.0;422.9271;268.0175;189.8988;78.1187;583.5991;252.0608;184.4984;67.5624;565.8774;1.0000
2022-06-19T06:00:00.0/2022-06-19T07:00:00.0;652.1305;459.5219;358.9217;100.6002;722.8790;443.0037;356.0542;86.9495;716.8963;1.0000
2022-06-19T07:00:00.0/2022-06-19T08:00:00.0;860.7484;640.4971;525.3488;115.1484;803.6899;626.0159;524.5724;101.4435;802.3893;1.0000
2022-06-19T08:00:00.0/2022-06-19T09:00:00.0;1034.5668;793.9411;669.4603;124.4809;852.8553;783.8334;673.3332;110.5002;857.7292;1.0000
2022-06-19T09:00:00.0/2022-06-19T10:00:00.0;1161.7422;906.7062;776.6052;130.1010;881.3818;899.5800;784.1699;115.4101;889.9510;1.0000
2022-06-19T10:00:00.0/2022-06-19T11:00:00.0;1233.6094;969.9174;837.1558;132.7616;894.8737;964.0882;846.6675;117.4207;905.0388;1.0000
2022-06-19T11:00:00.0/2022-06-19T12:00:00.0;1245.2720;979.3254;846.5850;132.7404;896.4881;973.8878;856.3010;117.5869;906.7766;1.0000
2022-06-19T12:00:00.0/2022-06-19T13:00:00.0;1195.9368;936.4569;809.8141;126.6428;892.9061;929.9672;816.4527;113.5145;900.1946;1.0000
2022-06-19T13:00:00.0/2022-06-19T14:00:00.0;1088.9679;844.7463;729.8777;114.8686;883.6675;835.5082;730.7769;104.7314;884.6802;1.0000
2022-06-19T14:00:00.0/2022-06-19T15:00:00.0;931.6566;709.3309;608.4187;100.9122;860.6453;695.2479;602.8853;92.3626;852.6329;1.0000
2022-06-19T15:00:00.0/2022-06-19T16:00:00.0;734.7243;540.0233;453.2373;86.7860;811.7581;522.3079;444.2899;78.0181;795.6066;1.0000
2022-06-19T16:00:00.0/2022-06-19T17:00:00.0;511.5913;351.3242;280.2757;71.0485;717.7233;333.2222;271.3298;61.8924;694.2388;1.0000
2022-06-19T17:00:00.0/2022-06-19T18:00:00.0;277.4614;164.6752;116.4966;48.1786;535.3748;149.9590;107.0065;42.9525;486.8098;1.0000
2022-06-19T18:00:00.0/2022-06-19T19:00:00.0;56.9314;23.8592;11.6710;12.1882;141.8368;19.1779;6.4176;12.7603;65.4214;1.0000
2022-06-19T19:00:00.0/2022-06-19T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T20:00:00.0/2022-06-19T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T21:00:00.0/2022-06-19T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T22:00:00.0/2022-06-19T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-19T23:00:00.0/2022-06-20T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T00:00:00.0/2022-06-20T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T01:00:00.0/2022-06-20T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T02:00:00.0/2022-06-20T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T03:00:00.0/2022-06-20T04:00:00.0;12.0973;3.8075;1.1099;2.6976;26.3807;2.4534;0.0017;2.4517;0.0319;1.0000
2022-06-20T04:00:00.0/2022-06-20T05:00:00.0;188.0665;99.5843;63.6167;35.9676;407.8210;88.9830;54.7800;34.2029;333.7116;1.0000
2022-06-20T05:00:00.0/2022-06-20T06:00:00.0;422.1690;276.9003;214.2164;62.6839;661.4051;260.1309;206.1057;54.0252;635.4228;1.0000
2022-06-20T06:00:00.0/2022-06-20T07:00:00.0;651.3619;467.5312;388.2407;79.2905;783.3897;450.0990;379.6190;70.4801;765.8154;1.0000
2022-06-20T07:00:00.0/2022-06-20T08:00:00.0;860.0298;646.8293;556.2799;90.5493;851.8512;631.5063;547.8205;83.6858;838.7518;1.0000
2022-06-20T08:00:00.0/2022-06-20T09:00:00.0;1033.9552;798.7025;700.2863;98.4162;892.6267;787.8981;695.2496;92.6485;886.1367;1.0000
2022-06-20T09:00:00.0/2022-06-20T10:00:00.0;1161.2866;911.7662;805.0630;106.7032;913.9617;903.7993;804.0637;99.7356;912.7877;1.0000
2022-06-20T10:00:00.0/2022-06-20T11:00:00.0;1233.3477;977.8182;861.7733;116.0450;921.2620;970.6514;865.1522;105.4993;924.8624;1.0000
2022-06-20T11:00:00.0/2022-06-20T12:00:00.0;1245.2284;991.4036;868.1561;123.2475;919.2240;983.7281;874.0795;109.6486;925.4957;1.0000
2022-06-20T12:00:00.0/2022-06-20T13:00:00.0;1196.1200;945.0848;809.0834;136.0014;891.5815;936.8574;818.4857;118.3717;901.9904;1.0000
2022-06-20T13:00:00.0/2022-06-20T14:00:00.0;1089.3706;841.7807;689.2087;152.5720;833.4492;832.8232;702.7041;130.1192;849.8226;1.0000
2022-06-20T14:00:00.0/2022-06-20T15:00:00.0;932.2559;693.8176;532.3777;161.4399;751.3795;681.6144;545.6683;135.9461;770.2164;1.0000
2022-06-20T15:00:00.0/2022-06-20T16:00:00.0;735.4835;517.7298;369.6461;148.0837;660.5281;502.6436;378.3721;124.2716;675.8771;1.0000
2022-06-20T16:00:00.0/2022-06-20T17:00:00.0;512.4622;329.6246;213.8160;115.8086;544.4539;313.3973;214.1206;99.2767;544.4500;1.0000
2022-06-20T17:00:00.0/2022-06-20T18:00:00.0;278.3881;147.7167;76.0173;71.6993;341.3102;134.5810;69.1030;65.4781;304.1698;1.0000
2022-06-20T18:00:00.0/2022-06-20T19:00:00.0;57.6236;20.1441;4.7660;15.3781;53.0731;16.2342;1.4380;14.7963;13.1143;1.0000
2022-06-20T19:00:00.0/2022-06-20T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T20:00:00.0/2022-06-20T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T21:00:00.0/2022-06-20T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T22:00:00.0/2022-06-20T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-20T23:00:00.0/2022-06-21T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T00:00:00.0/2022-06-21T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T01:00:00.0/2022-06-21T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T02:00:00.0/2022-06-21T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T03:00:00.0/2022-06-21T04:00:00.0;11.8676;2.6288;0.0679;2.5609;1.5259;1.4350;0.0000;1.4350;0.0000;1.0000
2022-06-21T04:00:00.0/2022-06-21T05:00:00.0;187.2749;65.2120;10.4237;54.7883;60.3488;58.7660;3.9663;54.7997;19.2714;1.0000
2022-06-21T05:00:00.0/2022-06-21T06:00:00.0;421.3209;205.8829;71.2824;134.6005;215.4798;186.8712;60.0149;126.8563;176.6747;1.0000
2022-06-21T06:00:00.0/2022-06-21T07:00:00.0;650.5172;381.6505;179.8711;201.7794;360.9536;373.1061;196.2538;176.8523;393.3192;1.0000
2022-06-21T07:00:00.0/2022-06-21T08:00:00.0;859.2482;556.0234;304.3891;251.6343;465.4194;514.2807;271.9554;242.3253;419.6501;1.0000
2022-06-21T08:00:00.0/2022-06-21T09:00:00.0;1033.2911;706.1929;419.6859;286.5070;534.7793;684.1810;431.9676;252.2135;548.3068;1.0000
2022-06-21T09:00:00.0/2022-06-21T10:00:00.0;1160.7865;817.4078;507.2974;310.1104;575.9369;800.8038;519.7177;281.0861;589.6257;1.0000
2022-06-21T10:00:00.0/2022-06-21T11:00:00.0;1233.0460;880.1646;555.5084;324.6562;593.8998;861.4739;569.2395;292.2344;609.1893;1.0000
2022-06-21T11:00:00.0/2022-06-21T12:00:00.0;1245.1455;889.1629;559.4862;329.6767;592.3463;867.5052;570.4976;297.0075;604.2638;1.0000
2022-06-21T12:00:00.0/2022-06-21T13:00:00.0;1196.2611;846.1633;524.6481;321.5152;578.0723;854.4321;596.4494;257.9827;657.1588;1.0000
2022-06-21T13:00:00.0/2022-06-21T14:00:00.0;1089.7246;754.6243;454.3344;300.2899;549.2125;758.0161;512.7358;245.2802;619.7654;1.0000
2022-06-21T14:00:00.0/2022-06-21T15:00:00.0;932.7969;619.6987;351.6697;268.0290;495.9475;616.5979;393.8738;222.7241;555.3547;1.0000
2022-06-21T15:00:00.0/2022-06-21T16:00:00.0;736.1724;453.4886;230.8506;222.6380;410.8141;445.2929;253.4650;191.8279;450.7213;1.0000
2022-06-21T16:00:00.0/2022-06-21T17:00:00.0;513.2493;274.5871;111.7838;162.8033;281.3753;263.2583;115.0945;148.1637;288.2826;1.0000
2022-06-21T17:00:00.0/2022-06-21T18:00:00.0;279.2166;114.0115;27.1843;86.8272;116.8056;104.6442;18.5834;86.0607;73.0626;1.0000
2022-06-21T18:00:00.0/2022-06-21T19:00:00.0;58.2096;15.6783;0.8835;14.7948;9.8755;12.4973;0.0000;12.4973;0.0000;1.0000
2022-06-21T19:00:00.0/2022-06-21T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T20:00:00.0/2022-06-21T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T21:00:00.0/2022-06-21T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T22:00:00.0/2022-06-21T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-21T23:00:00.0/2022-06-22T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-22T00:00:00.0/2022-06-22T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-22T01:00:00.0/2022-06-22T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2022-06-22T02:00:00.0/2022-06-22T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
