valid_time,Temperature (K),Relative humidity (%)
2024-05-31 20:00:00,286.08765,0.81604564
2024-05-31 21:00:00,285.43768,0.8560039
2024-05-31 22:00:00,284.66748,0.89413714
2024-05-31 23:00:00,283.7705,0.9195121
2024-06-01 00:00:00,283.2406,0.92431813
2024-06-01 01:00:00,282.78235,0.92957187
2024-06-01 02:00:00,282.67273,0.9276086
2024-06-01 03:00:00,282.52002,0.9289573
2024-06-01 04:00:00,282.13647,0.94830143
2024-06-01 05:00:00,283.4707,0.9343781
2024-06-01 06:00:00,286.28394,0.8173314
2024-06-01 07:00:00,288.28046,0.57206315
2024-06-01 08:00:00,289.40546,0.51395047
2024-06-01 09:00:00,290.3899,0.48254398
2024-06-01 10:00:00,291.2306,0.47317347
2024-06-01 11:00:00,291.6172,0.48180512
2024-06-01 12:00:00,291.91956,0.48722866
2024-06-01 13:00:00,292.02295,0.49327773
2024-06-01 14:00:00,292.10938,0.49819824
2024-06-01 15:00:00,291.75073,0.51653975
2024-06-01 16:00:00,291.2433,0.5441779
2024-06-01 17:00:00,290.5675,0.59110576
2024-06-01 18:00:00,289.677,0.6707761
2024-06-01 19:00:00,288.26923,0.8197577
2024-06-01 20:00:00,288.3584,0.73553884
2024-06-01 21:00:00,287.80646,0.76803005
2024-06-01 22:00:00,286.98566,0.81054527
2024-06-01 23:00:00,285.4851,0.87197286
2024-06-02 00:00:00,284.4461,0.9103315
2024-06-02 01:00:00,283.78534,0.92919457
2024-06-02 02:00:00,283.388,0.94027233
2024-06-02 03:00:00,283.3459,0.94561833
2024-06-02 04:00:00,283.4325,0.95262307
2024-06-02 05:00:00,284.73492,0.93350387
2024-06-02 06:00:00,287.27734,0.8755905
2024-06-02 07:00:00,288.76447,0.79650044
2024-06-02 08:00:00,289.81897,0.69974375
2024-06-02 09:00:00,288.58453,0.66764957
2024-06-02 10:00:00,287.2436,0.8144762
2024-06-02 11:00:00,286.92316,0.8729229
2024-06-02 12:00:00,287.8745,0.8130366
2024-06-02 13:00:00,288.5652,0.76938117
2024-06-02 14:00:00,289.51587,0.73384094
2024-06-02 15:00:00,289.94336,0.71072114
2024-06-02 16:00:00,290.02222,0.70267975
2024-06-02 17:00:00,289.60803,0.7511271
2024-06-02 18:00:00,288.92877,0.81062007
2024-06-02 19:00:00,287.34625,0.9083933
2024-06-02 20:00:00,287.17957,0.8793308
2024-06-02 21:00:00,286.58398,0.91525775
2024-06-02 22:00:00,286.01233,0.94646966
2024-06-02 23:00:00,285.5927,0.9625749
2024-06-03 00:00:00,283.8924,0.9825263
2024-06-03 01:00:00,283.66333,0.9895361
2024-06-03 02:00:00,282.77185,0.99846107
2024-06-03 03:00:00,282.61664,0.99602133
2024-06-03 04:00:00,282.54932,0.9960027
2024-06-03 05:00:00,283.1278,0.98863864
2024-06-03 06:00:00,285.25415,0.97538275
2024-06-03 07:00:00,286.97632,0.8532131
2024-06-03 08:00:00,287.99536,0.7673045
2024-06-03 09:00:00,288.85083,0.6972272
2024-06-03 10:00:00,289.50867,0.63623273
2024-06-03 11:00:00,290.20862,0.5986416
2024-06-03 12:00:00,290.77222,0.5618241
2024-06-03 13:00:00,290.78528,0.54189265
2024-06-03 14:00:00,291.01904,0.5366002
2024-06-03 15:00:00,290.89587,0.5378755
2024-06-03 16:00:00,290.6078,0.54859775
2024-06-03 17:00:00,289.68506,0.6218659
2024-06-03 18:00:00,288.65143,0.70357966
2024-06-03 19:00:00,287.5611,0.82288
2024-06-03 20:00:00,287.5105,0.76016444
2024-06-03 21:00:00,286.9839,0.78553665
2024-06-03 22:00:00,285.8366,0.8405715
2024-06-03 23:00:00,285.26935,0.854117
2024-06-04 00:00:00,284.6527,0.8695701
2024-06-04 01:00:00,284.0437,0.8837089
2024-06-04 02:00:00,283.4604,0.89597374
2024-06-04 03:00:00,283.01074,0.902649
2024-06-04 04:00:00,282.69604,0.90564173
2024-06-04 05:00:00,283.64185,0.9073983
2024-06-04 06:00:00,287.1306,0.76353735
2024-06-04 07:00:00,288.73523,0.6211455
2024-06-04 08:00:00,289.93225,0.57826924
2024-06-04 09:00:00,291.12732,0.5527801
2024-06-04 10:00:00,292.15002,0.5359639
2024-06-04 11:00:00,292.8423,0.5277232
2024-06-04 12:00:00,293.17297,0.53106654
2024-06-04 13:00:00,293.09412,0.5490083
2024-06-04 14:00:00,293.0475,0.5543129
2024-06-04 15:00:00,292.7951,0.56996715
2024-06-04 16:00:00,292.0324,0.6302249
2024-06-04 17:00:00,291.02423,0.70062184
2024-06-04 18:00:00,290.03906,0.7650326
2024-06-04 19:00:00,288.9298,0.8168786
2024-06-04 20:00:00,288.56665,0.8097043
2024-06-04 21:00:00,288.2049,0.82448214
2024-06-04 22:00:00,287.60168,0.8525671
2024-06-04 23:00:00,287.18323,0.865498
2024-06-05 00:00:00,286.5155,0.8838086
2024-06-05 01:00:00,286.05054,0.89022493
2024-06-05 02:00:00,285.80493,0.8868149
2024-06-05 03:00:00,285.39215,0.89243203
2024-06-05 04:00:00,284.78357,0.9038036
2024-06-05 05:00:00,285.46002,0.91092277
2024-06-05 06:00:00,288.49945,0.81323445
2024-06-05 07:00:00,290.22913,0.66494924
2024-06-05 08:00:00,291.3031,0.6197296
2024-06-05 09:00:00,292.44336,0.590073
2024-06-05 10:00:00,293.24976,0.5713265
2024-06-05 11:00:00,294.07617,0.55374736
2024-06-05 12:00:00,294.4873,0.5431685
2024-06-05 13:00:00,294.69995,0.5411676
2024-06-05 14:00:00,294.71057,0.5393707
2024-06-05 15:00:00,294.44604,0.56323296
2024-06-05 16:00:00,293.9596,0.59183943
2024-06-05 17:00:00,293.14862,0.6604782
